date,borough,location,event_type,category,attendance,audience,classification,time
2017-11-04,Bronx,St. James Recreation Center,Local Event,Arts/Culture,17.0,General Public,AC&F,19:00:00
2017-11-04,Bronx,Owen Dolen Recreation Center,Tournament/Competition,Sport,400.0,Teens;#Children,Tier 1,10:00:00
2017-11-07,Brooklyn,Betsy Head Park,Local Event,Fitness,150.0,Children,Play,10:00:00
2017-11-07,Brooklyn,Betsy Head Park,Local Event,Fitness,150.0,Children,Play,15:00:00
2017-11-16,Manhattan,Swidish Cottage,Local Event,Performance,12.0,Tot;#Adults,Play,10:00:00
2017-11-16,Manhattan,Swidish Cottage,Local Event,Performance,12.0,"Tot, Adults",Play,15:00:00
2017-11-17,Brooklyn,McCarren Play Center,Local Event,Arts/Culture,112.0,Tot;#Children;#Adults,Play,14:00:00
2017-11-17,Brooklyn,McCarren Play Center,Local Event,Arts/Culture,112.0,"Tot, Children, Adults",Play,19:00:00
2017-11-22,Bronx,St. James Recreation Center,Local Event,Arts/Culture,25.0,"Adults, Seniors",,23:00:00
2017-11-22,Bronx,St. James Recreation Center,Local Event,Arts/Culture,25.0,Adults;#Seniors,,18:00:00
2017-12-08,Bronx,Owen Dolen Recreation Center,Local Event,Academic/Out of School time,35.0,Tot;#Children;#Teens,Lecture/Panel/Talk,18:00:00
2017-12-08,Bronx,Owen Dolen Recreation Center,Local Event,Academic/Out of School time,35.0,"Tot, Children, Teens",Lecture/Panel/Talk,23:00:00
2017-12-18,Brooklyn,McCarren Play Center,Local Event,Arts/Culture,115.0,Tot,Movies,14:00:00
2017-12-18,Brooklyn,McCarren Play Center,Local Event,Arts/Culture,115.0,Tot,Movies,19:00:00
2017-12-22,Bronx,Owen Dolen Recreation Center,Local Event,Arts/Culture,60.0,"Tot, Children, Young Adult, Adults, Teens, Seniors",Play,15:00:00
2017-12-22,Bronx,Owen Dolen Recreation Center,Local Event,Arts/Culture,60.0,Tot;#Children;#Young Adult;#Adults;#Teens;#Seniors,Play,10:00:00
2018-01-05,Manhattan,Asser Levy Recreation Center,Local Event,Fitness,30.0,Adults;#Young Adult;#Seniors;#General Public,Fitness,16:00:00
2018-01-05,Manhattan,Asser Levy Recreation Center,Local Event,Fitness,30.0,"Adults, Young Adult, Seniors, General Public",Fitness,21:00:00
2018-01-11,Manhattan,Hamilton Fish Recreation Center,Community Based Event,Academic/Out of School time,55.0,Children,,18:00:00
2018-01-11,Manhattan,Hamilton Fish Recreation Center,Community Based Event,Academic/Out of School time,55.0,Children,,23:00:00
2018-01-15,Manhattan,Jackie Robinson Recreation Center,Community Based Event,Academic/Out of School time,20.0,General Public,,16:00:00
2018-01-15,Manhattan,Jackie Robinson Recreation Center,Community Based Event,Academic/Out of School time,20.0,General Public,,21:00:00
2018-01-19,Manhattan,Alfred E. Smith Recreation Center,Tournament/Competition,Fitness,16.0,General Public,,15:00:00
2018-01-19,Manhattan,Alfred E. Smith Recreation Center,Tournament/Competition,Fitness,16.0,General Public,,20:00:00
2018-01-20,Manhattan,Alfred E. Smith Recreation Center,Local Event,Fitness,50.0,Teens;#Young Adult;#Adults;#Seniors,,00:00:00
2018-01-20,Manhattan,Alfred E. Smith Recreation Center,Local Event,Fitness,50.0,"Teens, Young Adult, Adults, Seniors",,05:00:00
2018-01-20,Manhattan,Highbridge Recreation Center,Community Based Event,Arts/Culture,20.0,General Public,Dance,23:00:00
2018-01-20,Manhattan,Highbridge Recreation Center,Community Based Event,Arts/Culture,20.0,General Public,Dance,18:00:00
2018-01-24,Manhattan,Highbridge Recreation Center,Tournament/Competition,Sport,45.0,General Public,Tier 1,11:00:00
2018-01-24,Manhattan,Highbridge Recreation Center,Tournament/Competition,Sport,45.0,General Public,Tier 1,16:00:00
2018-01-26,Manhattan,Hamilton Fish Recreation Center,Community Based Event,Performance,55.0,"General Public, Children, Teens",,23:00:00
2018-01-26,Manhattan,Pelham Fritz Recreation Center,Community Based Event,Performance,80.0,General Public,Music,00:00:00
2018-01-26,Manhattan,Hamilton Fish Recreation Center,Community Based Event,Performance,55.0,General Public;#Children;#Teens,,18:00:00
2018-01-26,Manhattan,Pelham Fritz Recreation Center,Community Based Event,Performance,80.0,General Public,Music,05:00:00
2018-01-26,Manhattan,Jackie Robinson Recreation Center,Community Based Event,Fitness,15.0,General Public,,19:30:00
2018-01-27,Manhattan,Jackie Robinson Recreation Center,Community Based Event,Fitness,15.0,General Public,,00:30:00
2018-01-30,Manhattan,Recreation Center 54,Community Based Event,Fitness,26.0,Children;#Teens,,13:00:00
2018-01-30,Manhattan,Recreation Center 54,Community Based Event,Fitness,26.0,"Children, Teens",,18:00:00
2018-01-31,Manhattan,Alfred E. Smith Recreation Center,Community Based Event,Sport,757.0,"Tot, Children",Tier 1,05:00:00
2018-01-31,Manhattan,Alfred E. Smith Recreation Center,Community Based Event,Sport,757.0,Tot;#Children,Tier 1,00:00:00
2018-02-03,Manhattan,Hansborough Recreation Center,Agency Produced Event,Family Festival,404.0,General Public,Fitness,17:00:00
2018-02-03,Manhattan,Hansborough Recreation Center,Agency Produced Event,Family Festival,404.0,General Public,Fitness,12:00:00
2018-02-09,Manhattan,Highbridge Recreation Center,Community Based Event,Arts/Culture,85.0,General Public,Dance,00:00:00
2018-02-09,Manhattan,Asser Levy Recreation Center,Community Based Event,Arts/Culture,101.0,"Children, Young Adult, Adults, Teens, Seniors, General Public",,21:45:00
2018-02-09,Manhattan,Highbridge Recreation Center,Community Based Event,Arts/Culture,85.0,General Public,Dance,05:00:00
2018-02-09,Manhattan,Asser Levy Recreation Center,Community Based Event,Arts/Culture,101.0,Children;#Young Adult;#Adults;#Teens;#Seniors;#General Public,,16:45:00
2018-02-14,Brooklyn,McCarren Play Center,Local Event,Arts/Culture,102.0,Tot,Play,09:00:00
2018-02-14,Manhattan,Pelham Fritz Recreation Center,Local Event,Arts/Culture,4.0,Children;#Young Adult;#Adults;#Seniors,Lecture/Panel/Talk,00:00:00
2018-02-14,Manhattan,Pelham Fritz Recreation Center,Local Event,Arts/Culture,4.0,"Children, Young Adult, Adults, Seniors",Lecture/Panel/Talk,05:00:00
2018-02-14,Brooklyn,McCarren Play Center,Local Event,Arts/Culture,102.0,Tot,Play,14:00:00
2018-02-16,Manhattan,Hamilton Fish Recreation Center,Community Based Event,Family Festival,25.0,Teens;#Adults;#Seniors,,18:00:00
2018-02-16,Manhattan,Hamilton Fish Recreation Center,Community Based Event,Family Festival,25.0,"Teens, Adults, Seniors",,23:00:00
2018-02-17,Manhattan,J. Hood Wright Recreation Center,Community Based Event,Academic/Out of School time,16.0,General Public,,11:00:00
2018-02-17,Manhattan,Pelham Fritz Recreation Center,Community Based Event,Fitness,220.0,General Public,,05:00:00
2018-02-17,Manhattan,J. Hood Wright Recreation Center,Community Based Event,Academic/Out of School time,16.0,General Public,,16:00:00
2018-02-17,Manhattan,Pelham Fritz Recreation Center,Community Based Event,Fitness,220.0,General Public,,00:00:00
2018-02-21,Manhattan,Highbridge Recreation Center,Community Based Event,Arts/Culture,9.0,General Public,Dance,00:00:00
2018-02-21,Manhattan,Highbridge Recreation Center,Community Based Event,Arts/Culture,9.0,General Public,Dance,05:00:00
2018-02-22,Brooklyn,McCarren Play Center,Local Event,Arts/Culture,10.0,Tot,Academics,14:00:00
2018-02-22,Brooklyn,McCarren Play Center,Local Event,Arts/Culture,10.0,Tot,Academics,09:00:00
2018-02-23,Manhattan,Jackie Robinson Recreation Center,Community Based Event,Sport,16.0,General Public,,10:00:00
2018-02-23,Manhattan,Jackie Robinson Recreation Center,Community Based Event,Sport,16.0,General Public,,15:00:00
2018-02-24,Manhattan,Pelham Fritz Recreation Center,Agency Produced Event,Arts/Culture,88.0,General Public,Dance,15:00:00
2018-02-24,Manhattan,Pelham Fritz Recreation Center,Agency Produced Event,Arts/Culture,88.0,General Public,Dance,20:00:00
2018-02-28,Manhattan,Gertrude Ederle Recreation Center,Agency Produced Event,Arts/Culture,32.0,General Public,,11:00:00
2018-02-28,Manhattan,Jackie Robinson Recreation Center,Local Event,Arts/Culture,55.0,"Children, Teens",,05:00:00
2018-02-28,Manhattan,Jackie Robinson Recreation Center,Local Event,Performance,75.0,Tot,Play,10:00:00
2018-02-28,Manhattan,Jackie Robinson Recreation Center,Local Event,Arts/Culture,55.0,Children;#Teens,,00:00:00
2018-02-28,Manhattan,Gertrude Ederle Recreation Center,Agency Produced Event,Arts/Culture,32.0,General Public,,06:00:00
2018-02-28,Manhattan,Jackie Robinson Recreation Center,Local Event,Performance,75.0,Tot,Play,15:00:00
2018-03-01,Manhattan,Pelham Fritz Recreation Center,Community Based Event,Performance,33.0,General Public,AC&F,23:00:00
2018-03-01,Manhattan,Pelham Fritz Recreation Center,Community Based Event,Performance,33.0,General Public,AC&F,18:00:00
2018-03-02,Brooklyn,McCarren Play Center,Local Event,Arts/Culture,30.0,Tot,Academics,14:00:00
2018-03-02,Brooklyn,McCarren Play Center,Local Event,Arts/Culture,30.0,Tot,Academics,09:00:00
2018-03-03,Staten Island,Tony Dapolito Recreation Center,Tournament/Competition,Sport,250.0,Children;#Teens,Tier 1,00:00:00
2018-03-03,Staten Island,Tony Dapolito Recreation Center,Tournament/Competition,Sport,250.0,"Children, Teens",Tier 1,05:00:00
2018-03-08,Manhattan,Pelham Fritz Recreation Center,Community Based Event,Performance,45.0,General Public,AC&F,18:00:00
2018-03-08,Manhattan,Pelham Fritz Recreation Center,Community Based Event,Performance,45.0,General Public,AC&F,23:00:00
2018-03-14,Manhattan,Hamilton Fish Recreation Center,Community Based Event,Academic/Out of School time,50.0,Teens,,16:00:00
2018-03-14,Manhattan,Hamilton Fish Recreation Center,Community Based Event,Academic/Out of School time,50.0,Teens,,20:00:00
2018-03-15,Manhattan,Pelham Fritz Recreation Center,Community Based Event,Performance,45.0,General Public,AC&F,04:00:00
2018-03-15,Manhattan,Pelham Fritz Recreation Center,Community Based Event,Performance,45.0,General Public,AC&F,00:00:00
2018-03-16,Staten Island,P.S 18,Community Based Event,Fitness,55.0,Children;#Teens,,00:00:00
2018-03-16,Staten Island,P.S 18,Community Based Event,Fitness,55.0,"Children, Teens",,04:00:00
2018-03-16,Queens,World Ice Arena ( FMCP ),Community Based Event,Family Festival,142.0,General Public,Play,19:00:00
2018-03-16,Queens,World Ice Arena ( FMCP ),Community Based Event,Family Festival,142.0,General Public,Play,23:00:00
2018-03-22,Manhattan,Pelham Fritz Recreation Center,Community Based Event,Performance,45.0,General Public,AC&F,22:00:00
2018-03-22,Manhattan,Pelham Fritz Recreation Center,Community Based Event,Performance,45.0,General Public,AC&F,18:00:00
2018-03-23,Manhattan,J. Hood Wright Recreation Center,Community Based Event,Fitness,42.0,Adults;#Young Adult;#Seniors,,17:00:00
2018-03-23,Manhattan,J. Hood Wright Recreation Center,Community Based Event,Fitness,42.0,"Adults, Young Adult, Seniors",,21:00:00
2018-03-24,Manhattan,Highbridge Recreation Center,Community Based Event,Family Festival,642.0,General Public,,12:00:00
2018-03-24,Manhattan,Highbridge Recreation Center,Community Based Event,Family Festival,642.0,General Public,,16:00:00
2018-03-28,Manhattan,Gertrude Ederle Recreation Center,Agency Produced Event,Arts/Culture,31.0,General Public,AC&F,22:00:00
2018-03-28,Manhattan,Gertrude Ederle Recreation Center,Agency Produced Event,Arts/Culture,31.0,General Public,AC&F,18:00:00
2018-03-29,Manhattan,Pelham Fritz Recreation Center,Community Based Event,Performance,55.0,General Public,AC&F,18:00:00
2018-03-29,Brooklyn,McCarren Play Center,Local Event,Sport,150.0,Tot,Tier 1,10:00:00
2018-03-29,Manhattan,Pelham Fritz Recreation Center,Community Based Event,Performance,55.0,General Public,AC&F,22:00:00
2018-03-29,Brooklyn,McCarren Play Center,Local Event,Sport,150.0,Tot,Tier 1,14:00:00
2018-03-30,Manhattan,Jackie Robinson Recreation Center,Community Based Event,Sport,18.0,"Adults, Young Adult, Seniors",,23:30:00
2018-03-30,Manhattan,Jackie Robinson Recreation Center,Community Based Event,Sport,18.0,Adults;#Young Adult;#Seniors,,19:30:00
2018-03-30,Brooklyn,McCarren Play Center,Local Event,Arts/Culture,104.0,Children;#Tot,Play,10:00:00
2018-03-30,Brooklyn,McCarren Play Center,Local Event,Arts/Culture,104.0,"Children, Tot",Play,14:00:00
2018-03-31,Manhattan,Hamilton Fish Recreation Center,Community Based Event,Sport,175.0,"General Public, Teens, Adults, Young Adult, Children",,16:00:00
2018-03-31,Manhattan,Hamilton Fish Recreation Center,Community Based Event,Sport,175.0,General Public;#Teens;#Adults;#Young Adult;#Children,,12:00:00
2018-04-01,Bronx,St. James Recreation Center,Local Event,Family Festival,60.0,Tot,Play,10:00:00
2018-04-01,Bronx,St. James Recreation Center,Local Event,Family Festival,60.0,Tot,Play,14:00:00
2018-04-04,Manhattan,Washington Square Park,Community Based Event,Arts/Culture,125.0,"Seniors, Adults",Dance,18:00:00
2018-04-04,Manhattan,Washington Square Park,Community Based Event,Arts/Culture,125.0,Seniors;#Adults,Dance,14:00:00
2018-04-05,Manhattan,Pelham Fritz Recreation Center,Community Based Event,Performance,45.0,General Public,AC&F,22:00:00
2018-04-05,Manhattan,Pelham Fritz Recreation Center,Community Based Event,Performance,45.0,General Public,AC&F,18:00:00
2018-04-07,Manhattan,Jackie Robinson Recreation Center,Tournament/Competition,Sport,15.0,Teens,Tier 1,00:00:00
2018-04-07,Manhattan,Jackie Robinson Recreation Center,Tournament/Competition,Sport,15.0,Teens,Tier 1,04:00:00
2018-04-12,Manhattan,Pelham Fritz Recreation Center,Community Based Event,Arts/Culture,30.0,Adults;#Seniors;#Adaptive,Lecture/Panel/Talk,18:00:00
2018-04-12,Manhattan,Hansborough Recreation Center,Community Based Event,Arts/Culture,30.0,General Public,AC&F,17:00:00
2018-04-12,Manhattan,Pelham Fritz Recreation Center,Community Based Event,Arts/Culture,30.0,"Adults, Seniors, Adaptive",Lecture/Panel/Talk,22:00:00
2018-04-12,Manhattan,Alfred E. Smith Recreation Center,Tournament/Competition,Sport,60.0,"Adults, Seniors, Young Adult",,22:30:00
2018-04-12,Manhattan,Hansborough Recreation Center,Community Based Event,Arts/Culture,30.0,General Public,AC&F,13:00:00
2018-04-12,Manhattan,Alfred E. Smith Recreation Center,Tournament/Competition,Sport,60.0,Adults;#Seniors;#Young Adult,,18:30:00
2018-04-13,Manhattan,Asser Levy Recreation Center,Community Based Event,Fitness,70.0,Young Adult;#Adults;#Seniors;#General Public,Fitness,00:00:00
2018-04-13,Manhattan,Asser Levy Recreation Center,Community Based Event,Fitness,70.0,General Public,Fitness,16:00:00
2018-04-13,Manhattan,Asser Levy Recreation Center,Community Based Event,Fitness,70.0,"Young Adult, Adults, Seniors, General Public",Fitness,04:00:00
2018-04-13,Manhattan,Asser Levy Recreation Center,Community Based Event,Fitness,70.0,General Public,Fitness,20:00:00
2018-04-18,Manhattan,Tony Dapolito Recreation Center,Community Based Event,Academic/Out of School time,35.0,General Public,Lecture/Panel/Talk,19:00:00
2018-04-18,Manhattan,Hansborough Recreation Center,Community Based Event,Arts/Culture,33.0,General Public,AC&F,13:00:00
2018-04-18,Manhattan,Hansborough Recreation Center,Community Based Event,Arts/Culture,33.0,General Public,AC&F,17:00:00
2018-04-18,Manhattan,Tony Dapolito Recreation Center,Community Based Event,Academic/Out of School time,35.0,General Public,Lecture/Panel/Talk,23:00:00
2018-04-20,Manhattan,Pelham Fritz Recreation Center,Community Based Event,Arts/Culture,94.0,General Public,Play,18:30:00
2018-04-20,Manhattan,Pelham Fritz Recreation Center,Community Based Event,Arts/Culture,94.0,General Public,Play,22:30:00
2018-04-20,Manhattan,Jackie Robinson Recreation Center,Community Based Event,Fitness,40.0,General Public,Fitness,08:00:00
2018-04-20,Manhattan,Jackie Robinson Recreation Center,Community Based Event,Fitness,40.0,General Public,Fitness,04:00:00
2018-04-21,Manhattan,"Broadway, Times Square, Union Square",Community Based Event,Academic/Out of School time,,General Public,,13:00:00
2018-04-21,Manhattan,Ruppert Park,Community Based Event,Arts/Culture,35.0,General Public,Music,14:00:00
2018-04-21,Manhattan,Recreation Center 54,Community Based Event,Academic/Out of School time,25.0,General Public,,09:30:00
2018-04-21,Manhattan,Ruppert Park,Community Based Event,Arts/Culture,35.0,General Public,Music,10:00:00
2018-04-21,Queens,Long Island City YMCA,Community Based Event,Sport,350.0,"Children, Teens",Fitness,04:00:00
2018-04-21,Queens,Long Island City YMCA,Community Based Event,Sport,350.0,Children;#Teens,Fitness,00:00:00
