unit,group_name_partner,date_and_time,borough,locationtype,location,event_name,event_type,category,attendance,audience,source,classification
Recreation,Brooklyn Play Mobile,2019-10-01T12:00:00.000,Brooklyn,Other,484 Knickerbocker Street,Community Day,Community Based Event,Mobile Unit,71.0,General Public,Sharepoint,Play
Urban Park Rangers,ADAPT,2019-10-06T12:30:00.000,Staten Island,Other,Inspiration Plaza,Harvest Fest,Community Based Event,Family Festival,75.0,General Public,Sharepoint,
Recreation,,2019-10-18T19:00:00.000,Bronx,Other,Healy Field,Halloween: Face Your Fate,Community Based Event,Mobile Unit,45.0,Young Adult;#Adults;#Teens;#Adaptive;#Seniors,Sharepoint,M.U.T.S
Urban Park Rangers,New York City Area Educators,2019-10-25T16:00:00.000,Manhattan,Other,American Museum of Natural History,T. Rex The Untimate Predator Educators Evening,Local Event,Academic/Out of School time,400.0,Adults;#Young Adult,Sharepoint,
Urban Park Rangers,Myrtle Ave BID,2019-10-26T12:00:00.000,Queens,Other,Seneca Avenue and Corneila Street,6th Annual Ridgewood Stroll,Community Based Event,Family Festival,400.0,General Public,Sharepoint,
Recreation,NYC Parks and Recreation,2019-09-21T09:00:00.000,Queens,Other,Beach 82nd Street,Rockaway Classic Basketball Tournament,Community Based Event,Sport,250.0,Children;#Teens,Sharepoint,Tier 1
Recreation,NYC Parks and Recreation,2019-09-22T09:00:00.000,Queens,Other,Beach 82nd Street,Rockaway Basketball Classic,Community Based Event,Sport,200.0,Children;#Teens,Sharepoint,Tier 1
Recreation,Ocean Breeze Athletic Complex,2018-07-11T19:00:00.000,Staten Island,Other,Franklin D. Roosevelt Boardwalk and Beach,Twilight Run,Community Based Event,Fitness,54.0,General Public,Sharepoint,Tier 2
Urban Park Rangers,121 Precinct Community Board,2019-11-13T19:00:00.000,Staten Island,Other,121 Precinct,121 Precinct Community Board Meeting,Community Based Event,Nature,80.0,General Public,Sharepoint,
Recreation,,2018-07-05T11:00:00.000,Bronx,Other,St Andrews Summer camp,Summer Blast,Community Based Event,Mobile Unit,40.0,Children,Sharepoint,Music
Recreation,,2018-07-03T11:00:00.000,Bronx,Other,P.S. 89,Field Day,Community Based Event,Mobile Unit,53.0,Children,Sharepoint,Play
Public Programs,Rufus King Stakeholders,2019-12-14T14:00:00.000,Queens,Park,Grace Episcopal Church /Rufus King Park,Holiday On the Avenue,Community Based Event,Family Festival,100.0,General Public,Sharepoint,Play
Recreation,,2018-07-10T12:00:00.000,Bronx,Other,Francis Martin Library,Summer reading in the park,Community Based Event,Mobile Unit,5.0,Children,Sharepoint,Play
Urban Park Rangers,Zimmer Club,2020-02-29T09:00:00.000,Staten Island,Other,4411 Arthur Kill Road,Zimmer Club,Community Based Event,Nature,60.0,Children;#Young Adult;#Adults;#Teens;#Tot,Sharepoint,
Recreation,,2018-07-14T20:30:00.000,Queens,Other,Beach 94th Street,"MUTS ""Big Fish""",Community Based Event,Mobile Unit,189.0,General Public,Sharepoint,
Recreation,,2018-07-15T20:30:00.000,Queens,Other,Beach 94th Street,"MUTS ""Kubo and the Two Strings""",Community Based Event,Mobile Unit,82.0,General Public,Sharepoint,
Recreation,"Council Member Johnson, Agostino Face Paint & Send in the Clowns",2018-05-26T20:30:00.000,Manhattan,Other,William F. Passannante Ballfield,Movies Under the Stars,Community Based Event,Mobile Unit,100.0,General Public,Sharepoint,Movies
Recreation,,2018-07-11T21:00:00.000,Staten Island,Other,Det. Russel Timoshenko,Movies Under the Stars: Jaws,Community Based Event,Mobile Unit,150.0,General Public,Sharepoint,Movies
Recreation,Ocean Breeze Athletic Complex,2018-07-18T19:00:00.000,Staten Island,Other,Franklin D. Roosevelt Boardwalk and Beach,Twilight Run,Community Based Event,Fitness,,General Public,Sharepoint,Tier 2
Recreation,,2018-07-14T21:00:00.000,Staten Island,Other,Cedar Grove Meadow,Movies Under the Stars: Peter Rabbit,Community Based Event,Mobile Unit,125.0,General Public,Sharepoint,Movies
Recreation,Ocean Breeze Athletic Complex,2018-07-25T19:00:00.000,Staten Island,Other,Franklin D. Roosevelt Boardwalk and Beach,Twilight Run,Community Based Event,Fitness,,General Public,Sharepoint,Tier 2
Recreation,,2018-07-19T20:30:00.000,Bronx,Other,Frank Frisch Field,Movies Under The Stars: Peter Rabbit,Community Based Event,Mobile Unit,72.0,General Public,Sharepoint,Movies
Recreation,Boogie Down Bronx Runners,2020-07-24T13:00:00.000,Bronx,Other,Virtual,Special Express Writers Anthology Reading and Book Launch,Agency Produced Event,Arts/Culture,28.0,Adults;#Young Adult,Sharepoint,Summer 2020
Recreation,,2018-07-20T20:30:00.000,Queens,Other,Beach 59th Street,"MUTS ""Southside with You""",Community Based Event,Mobile Unit,82.0,General Public,Sharepoint,Movies
Urban Park Rangers,General Public,2020-07-26T14:00:00.000,Queens,Other,Rockaway Beach and Boardwalk,Boardwalk Buddies,Agency Produced Event,Nature,6.0,General Public,Sharepoint,Summer 2020
Recreation,,2018-07-21T11:00:00.000,Bronx,Other,Burnside Ave between Morris Av & Walton Av,Summer Event,Community Based Event,Mobile Unit,200.0,Children;#General Public,Sharepoint,Play
Recreation,,2018-07-14T11:00:00.000,Bronx,Other,Barnes Av between E 216 & 217 St,Agnes Heywood Family Day,Community Based Event,Mobile Unit,16.0,Children;#General Public,Sharepoint,Play
Recreation,,2018-07-13T13:00:00.000,Bronx,Other,161 street & Melrose ave,Melrose Weekend Walks,Community Based Event,Mobile Unit,120.0,General Public,Sharepoint,Play
Recreation,,2020-07-31T11:00:00.000,Bronx,Other,Virtual Poe,Special Express Writers Anthology Project,Agency Produced Event,Arts/Culture,7.0,Young Adult;#Adults,Sharepoint,Summer 2020
Urban Park Rangers,Green Thumb,2020-08-01T11:00:00.000,Brooklyn,Other,Brooklyn Bears Carlton Avenue Community Garden,Open Garden Day: Succulent Workshop,Agency Produced Event,Arts/Culture,20.0,General Public,Sharepoint,Summer 2020
Recreation,,2018-06-23T20:30:00.000,Queens,Other,Sean's Place,"Movies Under the Stars ""Lego: Ninjago""",Community Based Event,Mobile Unit,54.0,General Public,Sharepoint,Movies
Recreation,,2018-06-30T20:30:00.000,Queens,Other,Rory Staunton Field,"Movies Under the Stars ""An American Tail""",Community Based Event,Mobile Unit,101.0,General Public,Sharepoint,Movies
Recreation,ADAPT Community Services,2020-08-07T11:00:00.000,Bronx,Other,Virtual,Special Express Writers Anthology Project,Agency Produced Event,Arts/Culture,8.0,Young Adult;#Adults,Sharepoint,Summer 2020
Recreation,,2017-11-16T10:00:00.000,Manhattan,Other,Swidish Cottage,3 Bears puppet show,Local Event,Performance,12.0,Tot;#Adults,Sharepoint,Play
Recreation,Jeantheia Hampton,2020-08-14T10:00:00.000,Bronx,Park,Williamsbridge Oval Park,Bingo,Local Event,Arts/Culture,4.0,Seniors,Sharepoint,Summer 2020
Recreation,ADAPT,2020-08-14T11:00:00.000,Bronx,Other,Virtual Poe,Special Express Writers Anthology Project,Agency Produced Event,Arts/Culture,8.0,Young Adult;#Adults,Sharepoint,Summer 2020
Recreation,,2018-07-29T20:30:00.000,Queens,Other,Beach 94th Street,"Movies Under the Stars ""The Little Mermaid""",Community Based Event,Mobile Unit,260.0,General Public,Sharepoint,Movies
Urban Park Rangers,General Public,2020-08-15T12:00:00.000,Manhattan,Other,West 152nd and McCombs (Open Street),Meet The Corn Snake and the Urban Park Rangers,Agency Produced Event,Nature,25.0,General Public,Sharepoint,Summer 2020
Recreation,,2018-07-28T20:30:00.000,Staten Island,Other,Timoshenko,Movies Under the Stars: Star Wars: The Last Jedi,Community Based Event,Mobile Unit,100.0,General Public,Sharepoint,Movies
Urban Park Rangers,General Public,2020-08-21T12:00:00.000,Queens,Other,Rockaway Beach and Boardwalk,Ocean Wildlife,Community Based Event,Nature,7.0,General Public,Sharepoint,Summer 2020
Urban Park Rangers,General Public,2020-08-22T12:00:00.000,Manhattan,Other,Colonel Charles Young Triangle,Can I have five minutes of your time?: An insect census.,Community Based Event,Nature,40.0,General Public,Sharepoint,Summer 2020
Recreation,,2018-08-05T20:30:00.000,Queens,Other,Beach 94th Street,"Movies Under the Stars ""Escape to Witch Mountain""",Community Based Event,Mobile Unit,177.0,General Public,Sharepoint,
Recreation,ADAPT Community Services,2020-08-28T11:00:00.000,Bronx,Other,Virtual for Poe,Specail Express Writers Anthology,Agency Produced Event,Arts/Culture,0.0,Young Adult;#Adults,Sharepoint,Summer 2020
Urban Park Rangers,General Public,2020-08-29T12:00:00.000,Manhattan,Other,Colonel Charles Young Triangle,These Sticks were made for Walkin',Local Event,Nature,7.0,General Public,Sharepoint,Summer 2020
Recreation,,2020-08-15T00:00:00.000,Manhattan,Other,East River Esplanade,Total Body BootCamp Workout,Community Based Event,Fitness,10.0,Adults,Sharepoint,Fitness
Recreation,,2018-08-05T20:00:00.000,Brooklyn,Park,Randall's Island Park,Movies Under the Stars,Community Based Event,Mobile Unit,700.0,General Public,Sharepoint,Movies
Recreation,,2020-08-08T00:00:00.000,Manhattan,Other,East River Esplanade,Total Body BootCamp,Community Based Event,Fitness,10.0,Adults,Sharepoint,Fitness
Recreation,,2020-08-08T00:00:00.000,Queens,Other,Rockaway Beach and Boardwalk,Far Rockaway Beach 17th street,Community Based Event,Fitness,2.0,Adults,Sharepoint,Fitness
Recreation,Shapeup NYC,2020-07-25T13:01:00.000,Bronx,Other,301 W Tremont Ave,Kickboxing,Community Based Event,Fitness,10.0,Adults,Sharepoint,Summer 2020
Recreation,Shapeup NYC,2020-07-25T10:10:00.000,Queens,Other,"Far Rockaway, Beach 17",ultimate cardio,Community Based Event,Fitness,1.0,Adults,Sharepoint,Summer 2020
Recreation,Shapeup NYC,2020-07-25T14:13:00.000,Bronx,Other,301 W Tremont Ave,Kickboxing,Community Based Event,Fitness,10.0,Adults,Sharepoint,Summer 2020
Recreation,Shapeup NYC,2020-07-25T10:59:00.000,Manhattan,Other,Pier 35,Total body bootcamp,Community Based Event,Fitness,6.0,Adults,Sharepoint,Summer 2020
Recreation,Shapeup NYC,2020-07-25T14:13:00.000,Bronx,Other,301 W Tremont Ave.,Kickboxing,Community Based Event,Fitness,10.0,Adults,Sharepoint,Summer 2020
Recreation,Shapeup NYC,2020-07-25T21:47:00.000,Manhattan,Other,Pier 35,Total body bootcamp,Community Based Event,Fitness,6.0,Adults,Sharepoint,Summer 2020
